model,manifold,fourier,max_coms,max_sents,max_sen_len,max_com_len,embedding_dim,f1,prec,rec,acc,train time,eval time
hs4,lorentz,True,30,30,20,20,200,0.9295129831444648,0.9289772727272727,0.9346823101059335,0.9289772727272727,26.942832708358765,1.2322473526000977
hs4,poincare,True,30,30,20,20,200,0.92147535424432,0.9204545454545454,0.9314220114399215,0.9204545454545454,28.82851266860962,1.1854043006896973
hs4,lorentz,False,30,30,20,20,200,0.9354362726568233,0.9346590909090909,0.9399301275262172,0.9346590909090909,25.878467321395874,1.0349311828613281
hs4,poincare,False,30,30,20,20,200,0.9282186977306238,0.9232954545454546,0.9452712119429276,0.9232954545454546,29.162169456481934,1.1665027141571045
bert,lorentz,True,30,30,20,20,200,0.7696945969259769,0.7642045454545454,0.7910030421996208,0.7642045454545454,20.001113891601562,0.9292716979980469
bert,lorentz,False,30,30,20,20,200,0.668709726649899,0.7670454545454546,0.5960582386363636,0.7670454545454546,19.027930974960327,0.8546302318572998
han,lorentz,True,30,30,20,20,200,0.9288566410111934,0.9289772727272727,0.932950781857032,0.9289772727272727,49.514546155929565,1.7880425453186035
han,poincare,True,30,30,20,20,200,0.922093661591187,0.9232954545454546,0.9254411801966149,0.9232954545454546,52.80599284172058,2.0294697284698486
han,lorentz,False,30,30,20,20,200,0.9207474191462329,0.9204545454545454,0.927624950806769,0.9204545454545454,49.55725836753845,1.8458173274993896
han,poincare,False,30,30,20,20,200,0.927762785265482,0.9261363636363636,0.9342780181774746,0.9261363636363636,72.97537302970886,2.7689743041992188
hs4,euclid,True,30,30,20,20,200,0.8921756379980945,0.8920454545454546,0.9000431384738451,0.8920454545454546,24.81048059463501,0.9851698875427246
hs4,euclid,False,30,30,20,20,200,0.8812278954048817,0.8892045454545454,0.8823233599871186,0.8892045454545454,25.454669713974,1.0507745742797852
bert,euclid,True,30,30,20,20,200,0.697425505656661,0.7528409090909091,0.6884259984488538,0.7528409090909091,18.713874101638794,0.7973451614379883
bert,euclid,False,30,30,20,20,200,0.670947687314099,0.7698863636363636,0.5959694602272727,0.7698863636363636,18.086169242858887,0.8699362277984619
han,euclid,True,30,30,20,20,200,0.6874327360423851,0.7527777777777778,0.6657238564614044,0.7527777777777778,54.07147407531738,2.0658340454101562
hyphen,poincare,True,30,30,20,20,200,0.9264860456291332,0.9261363636363636,0.9297907206429934,0.9261363636363636,495.3813965320587,30.289834022521973
bert,poincare,True,30,30,20,20,200,0.8483583784908091,0.8444444444444444,0.8625574979904691,0.8444444444444444,23.114855766296387,1.193039894104004
